Ledningskonstruktion;Säkerhetsklass;Områdestyp;Stolptyp;Stolpmaterial;Ledningsmaterial;Ledningsisolering;Tvärsnittsarea;Spänningsnivå;Imax;Kostnadskod;Kommentar;
aercbl;A;Landsbygd;single;wood;Al;PEX;95;12;230;NG12203;;
aercbl;B;Landsbygd svår mark;single;wood;Cu;PEX;0;12;96;NG12201;;
aercbl;none;Landsbygd svår mark;none;none;Cu;PEX;0;12;96;NG12201;;
aercbl;A;Landsbygd;single;wood;Cu;PVC;6;0,4;0;NG12311;;
aercbl;A;Landsbygd;single;wood;Cu;PEX;10;24;96;NG12101;;
aercbl;none;Tätort;none;none;Al;PEX;95;12;230;NG12203;;
aercbl;A;Landsbygd;single;wood;Al;PVC;35;0,4;0;NG12311;;
aercbl;A;Landsbygd svår mark;single;wood;Al;PE;25;0,4;0;NG12311;;
aercbl;B;Landsbygd svår mark;single;none;Cu;PEX;10;24;96;NG12101;1001;
aercbl;B;Tätort;single;none;Al;PVC;35;0,4;105;NG12311;1103;
aercbl;A;Landsbygd svår mark;portal;wood;Al;PVC;25;0,4;85;NG12311;1102;
aercbl;B;Landsbygd svår mark;single;none;Al;PVC;25;0,4;85;NG12311;1102;
aercbl;A;Landsbygd svår mark;portal;wood;Cu;PVC;10;0,4;60;NG12311;1114;
aercbl;A;Landsbygd svår mark;single;wood;Al;PE;50;0,4;140;NG12312;1107;
aercbl;A;Tätort;portal;wood;Cu;PVC;10;0,4;77;NG12311;1118;
aercbl;A;Tätort;portal;wood;Cu;PVC;10;0,4;60;NG12311;1114;
aercbl;A;Tätort;portal;wood;Al;PE;25;0,4;95;NG12311;1106;
aercbl;B;Tätort;single;none;Cu;PVC;10;0,4;60;NG12311;1114;
aercbl;B;Landsbygd svår mark;single;none;Cu;PEX;0;12;96;NG12201;3000;
aercbl;A;Landsbygd svår mark;single;wood;Al;PE;95;0,4;220;NG12313;1108;
aercbl;A;Landsbygd svår mark;portal;wood;Al;PVC;35;0,4;105;NG12311;1103;
aercbl;A;Landsbygd svår mark;portal;wood;Al;PVC;50;0,4;125;NG12312;1104;
aercbl;B;Landsbygd svår mark;single;none;Al;PE;50;0,4;140;NG12312;1107;
aercbl;A;Tätort;portal;wood;Al;PVC;25;0,4;85;NG12311;1102;
aercbl;B;Tätort;single;none;Al;PE;25;0,4;95;NG12311;1106;
aercbl;A;Landsbygd svår mark;single;wood;Cu;PEX;10;24;96;NG12101;1001;
aercbl;A;Landsbygd svår mark;single;wood;Cu;PEX;0;12;96;NG12201;3000;
aercbl;A;Tätort;single;wood;Cu;PEX;10;24;96;NG12101;1001;
aercbl;B;Tätort;single;none;Al;PEX;50;12;160;NG12202;3002;
aercbl;A;Tätort;portal;wood;Al;PEX;50;12;160;NG12202;3002;
aercbl;A;Landsbygd svår mark;portal;wood;Cu;PEX;10;24;96;NG12101;1001;
aercbl;B;Tätort;single;none;Al;PVC;50;0,4;125;NG12312;1104;
aercbl;A;Tätort;single;wood;Al;PE;95;0,4;220;NG12313;1108;
aercbl;B;Landsbygd svår mark;single;none;Al;PE;95;0,4;220;NG12313;1108;
aercbl;B;Tätort;single;none;Al;PE;95;0,4;220;NG12313;1108;
aercbl;A;Tätort;portal;wood;Al;PE;95;0,4;220;NG12313;1108;
aercbl;A;Landsbygd svår mark;portal;wood;Al;PE;95;0,4;220;NG12313;1108;
aercbl;A;Landsbygd svår mark;portal;wood;Al;PE;50;0,4;140;NG12312;1107;
aercbl;A;Landsbygd svår mark;portal;wood;Al;PVC;16;0,4;65;NG12311;1101;
aercbl;A;Tätort;portal;wood;Al;PVC;50;0,4;125;NG12312;1104;
aercbl;B;Tätort;single;none;Al;PE;50;0,4;140;NG12312;1107;
aercbl;A;Tätort;portal;wood;Al;PE;50;0,4;140;NG12312;1107;
aercbl;B;Tätort;single;none;Cu;PEX;10;24;96;NG12101;1001;
aercbl;A;Landsbygd svår mark;portal;wood;Al;PE;25;0,4;95;NG12311;1106;
aercbl;B;Tätort;single;none;Al;PVC;25;0,4;85;NG12311;1102;
aercbl;B;Landsbygd svår mark;single;none;Al;PE;25;0,4;95;NG12311;1106;
aercbl;A;Tätort;portal;wood;Al;PVC;35;0,4;105;NG12311;1103;
